block,trt,year,plot,cover_exotics,invaded,seedling_density_ha,sapling_density_ha,ba_m2_ha,burned,treated,cover_native,nspp_native,nspp_exotic,rel_exotic_richness,rel_exotic_cover
3,Control,2022,3_2,0,0,7000,5220,5.668327692580657,unburned,0untreated,35.749999996,14,0,0,0
3,Control,2022,3_5,0.291666667,1,3000,1880,3.9150297335736974,unburned,0untreated,20.333333333,17,2,0.10526315789473684,0.014141414157575758
3,Control,2022,3_9,0,0,5000,4860,1.698691220001242,unburned,0untreated,29.083333339,15,0,0,0
3,Control,2022,3_12,0.041666667,1,12500,3480,3.9926122787066256,unburned,0untreated,23.5,16,1,0.058823529411764705,0.0017699115185590098
3,Control,2022,3_18,0.041666667,1,5000,6640,1.8978424605109319,unburned,0untreated,31.333333336,23,1,0.041666666666666664,0.0013280212588371613
3,Control,2022,3_22,0.041666667,1,1500,2680,11.84085072117911,unburned,0untreated,50.375000006,17,1,0.05555555555555555,8.264462874994876e-4
3,Control,2022,3_24,0.833333333,1,9000,280,15.194482348411386,unburned,0untreated,37.249999998,17,1,0.05555555555555555,0.0218818380669862
3,Control,2022,3_26,0.291666667,1,2500,1440,12.987931171301854,unburned,0untreated,42.375000006,20,2,0.09090909090909091,0.00683593750679779
3,Control,2022,3_29,0.583333333,1,1000,1000,2.67318653973507,unburned,0untreated,51.083333332,17,2,0.10526315789473684,0.011290322574557752
3,Control,2022,3_33,0,0,500,380,3.3601737837957355,unburned,0untreated,48.625000004,18,0,0,0
3,TRT: Thin + Burn,2002,3_2,0,0,500,119.94893040000001,2.4498721085721504,burned,treated,18.666666665,24,0,0,0
3,TRT: Thin + Burn,2002,3_5,0.666666667,1,0,99.95744200000001,1.4431034634779834,burned,treated,32.958333333,29,3,0.09375,0.019826517977695166
3,TRT: Thin + Burn,2002,3_9,0.25,1,0,0,0.7905903442618708,burned,treated,35.916666670000005,26,2,0.07142857142857142,0.006912442395676272
3,TRT: Thin + Burn,2002,3_12,0.041666667,1,0,0,1.079976615657553,burned,treated,12.958333334,20,1,0.047619047619047616,0.0032051282305226823
3,TRT: Thin + Burn,2002,3_18,0.125,1,0,219.9063724,0.9181139785346483,burned,treated,29.416666669,26,2,0.07142857142857142,0.004231311706294847
3,TRT: Thin + Burn,2002,3_22,0.5,1,0,0,1.370137023479634,burned,treated,16.583333333,26,6,0.1875,0.02926829268349792
3,TRT: Thin + Burn,2002,3_24,0.666666666,1,0,19.9914884,0.5823133020536353,burned,treated,12.333333335,24,3,0.1111111111111111,0.05128205122682446
