BLOCK,TRT,PLOT,LOAD.1HR,LOAD.10HR,LOAD.100HR,LOAD.S1000HR,LOAD.R1000HR,LOAD.FLOOR,FWD,YEAR
3,co ,1,0.381089,0,0,0,3.855724,25.9549703,0.381089,2010
3,co ,1,0.791950618,14.39934054,11.77331621,17.00333711,0,12.59044416,26.96460736,2016
3,co ,2,0.059396296,1.515720057,11.77331621,23.9777361,42.1014206,39.95251006,13.34843256,2022
3,co ,2,0.1681275,0.3474635,0,12.32935,20.5900145,36.60406436,0.515591,2010
3,co ,2,0.582842,5.133493,4.079894,68.730522,41.112778,38.153734,9.796229,2002
3,co ,2,1.049334569,5.305020199,14.71664526,5.99679693,36.3820016,26.12978716,21.07100002,2016
3,co ,3,0.374309651,2.26229674,20.50105308,25.51202732,53.78238668,48.85562022,23.13765947,2022
3,co ,3,0.919097,5.806003,4.079894,20.489138,0,35.844783,10.804994,2002
3,co ,3,1.053599,4.0911025,9.4935995,19.413122,9.9419395,34.57623095,14.638301,2010
3,co ,3,1.162329968,13.19673098,29.28721869,34.83009307,13.28352932,40.79631497,43.64627964,2016
3,co ,4,0.019798765,0.757860028,0,0,0,31.06851823,0.777658794,2022
3,co ,4,1.2441435,2.0511555,1.3562285,0,0,10.35702498,4.6515275,2010
3,co ,4,1.247125708,4.926090184,0,0,0,25.48338657,6.173215893,2016
3,co ,4,1.995113,2.062364,1.367437,0,0,22.573919,5.424914,2002
3,co ,5,0.078900289,3.779897354,20.57408899,136.4089263,0,47.54053331,24.43288664,2022
3,co ,5,0.134502,1.031182,0,4.752404,0,28.738594,1.165684,2002
3,co ,5,0.355395203,4.166349598,1.464360935,122.7366117,0,32.14479674,5.986105736,2016
3,co ,5,0.4147145,1.367437,0,0,0,30.46597182,1.7821515,2010
