accepted_symbol,synonym_symbol,scientific_name,common_name,growth_habit
ANROP,NA,Antennaria rosea Greene ssp. pulvinata (Greene) Bayer,pulvinate pussytoes,forb
ANROR,NA,Antennaria rosea Greene ssp. rosea,rosy pussytoes,forb
ANRO3,NA,Antennaria rosulata Rydb.,Kaibab pussytoes,forb
ANUM,NA,Antennaria umbrinella Rydb.,umber pussytoes,forb
ANAR6,NA,Anthemis arvensis L.,corn chamomile,forb
ANCO2,NA,Anthemis cotula L.,stinking chamomile,forb
ANTI,NA,Anthemis tinctoria L.,golden chamomile,forb
APAM,NA,Apios americana Medik.,groundnut,forb
APFL,NA,Apocynum ×floribundum Greene (pro sp.) [androsaemifolium × cannabinum],NA,forb
APAN2,NA,Apocynum androsaemifolium L.,spreading dogbane,forb
APCA,NA,Apocynum cannabinum L.,Indianhemp,forb
AQBA,NA,Aquilegia barnebyi Munz,oil shale columbine,forb
AQCH,NA,Aquilegia chrysantha A. Gray,golden columbine,forb
AQCHR,NA,Aquilegia chrysantha A. Gray var. rydbergii Munz,Rydberg's golden columbine,forb
AQCO,NA,Aquilegia coerulea James,Colorado blue columbine,forb
AQCOC,NA,Aquilegia coerulea James var. coerulea,Colorado blue columbine,forb
AQCOD,NA,Aquilegia coerulea James var. daileyae Eastw.,Dailey's columbine,forb
AQCOO,NA,Aquilegia coerulea James var. ochroleuca Hook.,white Colorado columbine,forb
AQEL,NA,Aquilegia elegantula Greene,western red columbine,forb
AQFL,NA,Aquilegia flavescens S. Watson,yellow columbine,forb
AQFLF,NA,Aquilegia flavescens S. Watson var. flavescens,yellow columbine,forb
AQMI,NA,Aquilegia micrantha Eastw.,Mancos columbine,forb
AQMIM,NA,Aquilegia micrantha Eastw. var. mancosana,Mancos columbine,forb
AQMIM2,NA,Aquilegia micrantha Eastw. var. micrantha,Mancos columbine,forb
AQPU,NA,Aquilegia pubescens Coville,Sierra columbine,forb
AQSA,NA,Aquilegia saximontana Rydb.,Rocky Mountain blue columbine,forb
AQSC,NA,Aquilegia scopulorum Tidestr.,Utah columbine,forb
AQSCC,NA,Aquilegia scopulorum Tidestr. var. calcarea (M.E. Jones) Munz,Utah columbine,forb
ARDI2,NA,Arabis ×divaricarpa A. Nelson (pro sp.) [drummondii × holboellii],spreadingpod rockcress,forb
ARCR5,NA,Arabis crandallii B.L. Rob.,Crandall's rockcress,forb
ARDE,NA,Arabis demissa Greene,nodding rockcress,forb
ARDED,NA,Arabis demissa Greene var. demissa,nodding rockcress,forb
ARDEL,NA,Arabis demissa Greene var. languida Rollins,nodding rockcress,forb
ARDR,NA,Arabis drummondii A. Gray,Drummond's rockcress,forb
ARFE,NA,Arabis fendleri (S. Watson) Greene,Fendler's rockcress,forb
ARFEF,NA,Arabis fendleri (S. Watson) Greene var. fendleri,Fendler's rockcress,forb
ARFES,NA,Arabis fendleri (S. Watson) Greene var. spatifolia (Rydb.) Rollins,spoonleaf rockcress,forb
ARFE2,NA,Arabis fernaldiana Rollins,park rockcress,forb
ARFEF2,NA,Arabis fernaldiana Rollins var. fernaldiana,park rockcress,forb
ARGL,NA,Arabis glabra (L.) Bernh.,tower rockcress,forb
ARGU,NA,Arabis gunnisoniana Rollins,Gunnison's rockcress,forb
ARHI,NA,Arabis hirsuta (L.) Scop.,hairy rockcress,forb
ARHIG,NA,Arabis hirsuta (L.) Scop. var. glabrata Torr. & A. Gray,mountain rockcress,forb
ARHIH,NA,Arabis hirsuta (L.) Scop. var. hirsuta,hairy rockcress,forb
ARHIP,NA,Arabis hirsuta (L.) Scop. var. pycnocarpa (M. Hopkins) Rollins,creamflower rockcress,forb
ARHO2,NA,Arabis holboellii Hornem.,Holboell's rockcress,forb
ARHOP2,NA,Arabis holboellii Hornem. var. pendulocarpa (A. Nelson) Rollins,dropseed rockcress,forb
ARHOP3,NA,Arabis holboellii Hornem. var. pinetorum (Tidestr.) Rollins,Holboell's rockcress,forb
ARHOR,NA,Arabis holboellii Hornem. var. retrofracta (Graham) Rydb.,second rockcress,forb
ARLA,NA,Arabis laevigata (Muhl. ex Willd.) Poir.,smooth rockcress,forb
ARLAL,NA,Arabis laevigata (Muhl. ex Willd.) Poir. var. laevigata,smooth rockcress,forb
ARLE,NA,Arabis lemmonii S. Watson,Lemmon's rockcress,forb
ARLED2,NA,Arabis lemmonii S. Watson var. drepanoloba (Greene) Rollins,soldier rockcress,forb
ARLEL,NA,Arabis lemmonii S. Watson var. lemmonii,Lemmon's rockcress,forb
ARLI,NA,Arabis lignifera A. Nelson,desert rockcress,forb
AROX,NA,Arabis oxylobula Greene,Glenwood Springs rockcress,forb
ARPA35,NA,Arabis pallidifolia Rollins,Gunnison County rockcress,forb
ARPE,NA,Arabis pendulina Greene,rabbit ear rockcress,forb
ARPEP,NA,Arabis pendulina Greene var. pendulina,rabbit ear rockcress,forb
ARPER,NA,Arabis pendulina Greene var. russeola (Rollins) Rollins,russeola rockcress,forb
ARPE2,NA,Arabis perennans S. Watson,perennial rockcress,forb
ARPU2,NA,Arabis pulchra M.E. Jones ex S. Watson,beautiful rockcress,forb
ARPUP,NA,Arabis pulchra M.E. Jones ex S. Watson var. pallens M.E. Jones,beautiful rockcress,forb
ARSE,NA,Arabis selbyi Rydb.,Selby's rockcress,forb
ARNU2,NA,Aralia nudicaulis L.,wild sarsaparilla,forb
ARRA,NA,Aralia racemosa L.,American spikenard,forb
ARRAB2,NA,Aralia racemosa L. ssp. bicrenata (Wooton & Standl.) S.L. Welsh & N.D. Atwood,American spikenard,forb
ARLA3,NA,Arctium lappa L.,greater burdock,forb
ARMI2,NA,Arctium minus Bernh.,lesser burdock,forb
ARTO,NA,Arctium tomentosum Mill.,woolly burdock,forb
ARCO5,NA,Arenaria congesta Nutt.,ballhead sandwort,forb
ARCOC4,NA,Arenaria congesta Nutt. var. congesta,ballhead sandwort,forb
ARCOL,NA,Arenaria congesta Nutt. var. lithophila (Rydb.) Maguire,rock-loving sandwort,forb
AREA,NA,Arenaria eastwoodiae Rydb.,Eastwood's sandwort,forb
AREAA,NA,Arenaria eastwoodiae Rydb. var. adenophora Kearney & Peebles,Eastwood's sandwort,forb
AREAE,NA,Arenaria eastwoodiae Rydb. var. eastwoodiae,Eastwood's sandwort,forb
ARFE3,NA,Arenaria fendleri A. Gray,Fendler's sandwort,forb
ARFEB,NA,Arenaria fendleri A. Gray var. brevifolia (Maguire) Maguire,Fendler's sandwort,forb
ARFEF3,NA,Arenaria fendleri A. Gray var. fendleri,Fendler's sandwort,forb
ARFEP,NA,Arenaria fendleri A. Gray var. porteri Rydb.,Porter's sandwort,forb
ARFET3,NA,Arenaria fendleri A. Gray var. tweedyi (Rydb.) Maguire,Tweedy's sandwort,forb
ARHO4,NA,Arenaria hookeri Nutt.,Hooker's sandwort,forb
ARHOD,NA,Arenaria hookeri Nutt. ssp. desertorum (Maguire) W.A. Weber,Hooker's desert sandwort,forb
ARHOH3,NA,Arenaria hookeri Nutt. ssp. hookeri,Hooker's sandwort,forb
ARHOP,NA,Arenaria hookeri Nutt. ssp. pinetorum (A. Nelson) W.A. Weber,Hooker's sandwort,forb
ARKI,NA,Arenaria kingii (S. Watson) M.E. Jones,King's sandwort,forb
ARKIC,NA,Arenaria kingii (S. Watson) M.E. Jones ssp. compacta (Coville) Maguire,King's compact sandwort,forb
ARKIU2,NA,Arenaria kingii (S. Watson) M.E. Jones ssp. uintahensis (A. Nelson) Maguire,Uinta sandwort,forb
ARLA4,NA,Arenaria lanuginosa (Michx.) Rohrb.,spreading sandwort,forb
ARLAS,NA,Arenaria lanuginosa (Michx.) Rohrb. ssp. saxosa (A. Gray) Maguire,spreading sandwort,forb
ARSE2,NA,Arenaria serpyllifolia L.,thymeleaf sandwort,forb
ARHI4,NA,Argemone hispida A. Gray,rough pricklypoppy,forb
ARPO2,NA,Argemone polyanthemos (Fedde) G.B. Ownbey,crested pricklypoppy,forb
ARSQ,NA,Argemone squarrosa Greene,hedgehog pricklypoppy,forb
ARSQS,NA,Argemone squarrosa Greene ssp. squarrosa,hedgehog pricklypoppy,forb
ARAN7,NA,Argentina anserina (L.) Rydb.,silverweed cinquefoil,forb
ARFE5,NA,Argyrochosma fendleri (Kunze) Windham,Fendler's false cloak fern,forb
ARHU5,NA,Argythamnia humilis (Engelm. & A. Gray) Müll. Arg.,low silverbush,forb
ARHUH,NA,Argythamnia humilis (Engelm. & A. Gray) Müll. Arg. var. humilis,low silverbush,forb
ARME5,NA,Argythamnia mercurialina (Nutt.) Müll. Arg.,tall silverbush,forb
ARMEM,NA,Argythamnia mercurialina (Nutt.) Müll. Arg. var. mercurialina,tall silverbush,forb
ARMA6,NA,Armeria maritima (Mill.) Willd.,thrift seapink,forb
ARMAS,NA,Armeria maritima (Mill.) Willd. ssp. sibirica (Turcz. ex Boiss.) Nyman,Siberian sea thrift,forb
ARRU4,NA,"Armoracia rusticana G. Gaertn., B. Mey. & Scherb.",horseradish,forb
ARAN5,NA,Arnica angustifolia Vahl,narrowleaf arnica,forb
ARANT,NA,Arnica angustifolia Vahl ssp. tomentosa (Macoun) G.W. Douglas & G. Ruyle-Douglas,narrowleaf arnica,forb
ARCH3,NA,Arnica chamissonis Less.,Chamisso arnica,forb
ARCHF,NA,Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire,Chamisso arnica,forb
ARCHA2,NA,Arnica chamissonis Less. ssp. foliosa (Nutt.) Maguire var. andina (Nutt.) Ediger & T.M. Barkley,Chamisso arnica,forb
ARCO9,NA,Arnica cordifolia Hook.,heartleaf arnica,forb
ARFU3,NA,Arnica fulgens Pursh,foothill arnica,forb
ARGR14,NA,Arnica gracilis Rydb.,smallhead arnica,forb
ARLA8,NA,Arnica latifolia Bong.,broadleaf arnica,forb
ARLO6,NA,Arnica longifolia D.C. Eaton,spearleaf arnica,forb
ARMO4,NA,Arnica mollis Hook.,hairy arnica,forb
ARPA13,NA,Arnica parryi A. Gray,Parry's arnica,forb
ARPAP3,NA,Arnica parryi A. Gray ssp. parryi,Parry's arnica,forb
ARRY,NA,Arnica rydbergii Greene,Rydberg's arnica,forb
ARAB3,NA,Artemisia absinthium L.,absinthium,forb
ARAN3,NA,Artemisia annua L.,sweet sagewort,forb
ARBI2,NA,Artemisia biennis Willd.,biennial wormwood,forb
ARBIB,NA,Artemisia biennis Willd. var. biennis,biennial wormwood,forb
ARCA12,NA,Artemisia campestris L.,field sagewort,forb
ARCAB2,NA,Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem.,field sagewort,forb
ARCAB4,NA,Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. borealis (Pall.) M. Peck,field sagewort,forb
ARCAS5,NA,Artemisia campestris L. ssp. borealis (Pall.) H.M. Hall & Clem. var. scouleriana (Hook.) Cronquist,field sagewort,forb
ARCAC,NA,Artemisia campestris L. ssp. caudata (Michx.) H.M. Hall & Clem.,field sagewort,forb
ARCA14,NA,Artemisia carruthii Alph. Wood ex Carruth.,Carruth's sagewort,forb
ARDR4,NA,Artemisia dracunculus L.,tarragon,forb
ARFR3,NA,Artemisia franserioides Greene,ragweed sagebrush,forb
ARLU,NA,Artemisia ludoviciana Nutt.,white sagebrush,forb
ARLUA,NA,Artemisia ludoviciana Nutt. ssp. albula (Wooton) D.D. Keck,white sagebrush,forb
ARLUI2,NA,Artemisia ludoviciana Nutt. ssp. incompta (Nutt.) D.D. Keck,white sagebrush,forb
ARLUL2,NA,Artemisia ludoviciana Nutt. ssp. ludoviciana,white sagebrush,forb
ARLUM2,NA,Artemisia ludoviciana Nutt. ssp. mexicana (Willd. ex Spreng.) D.D. Keck,white sagebrush,forb
ARMI4,NA,Artemisia michauxiana Besser,Michaux's wormwood,forb
ARPA17,NA,Artemisia parryi A. Gray,Parry's wormwood,forb
ARPA18,NA,Artemisia pattersonii A. Gray,Patterson's wormwood,forb
ARSC,NA,Artemisia scopulorum A. Gray,alpine sagebrush,forb
ASAR,NA,Asclepias arenaria Torr.,sand milkweed,forb
ASAS,NA,Asclepias asperula (Decne.) Woodson,spider milkweed,forb
ASASA,NA,Asclepias asperula (Decne.) Woodson ssp. asperula,spider milkweed,forb
ASCR,NA,Asclepias cryptoceras S. Watson,pallid milkweed,forb
ASCRC2,NA,Asclepias cryptoceras S. Watson ssp. cryptoceras,pallid milkweed,forb
ASEN,NA,Asclepias engelmanniana Woodson,Engelmann's milkweed,forb
ASHA6,NA,Asclepias hallii A. Gray,Hall's milkweed,forb
ASIN,NA,Asclepias incarnata L.,swamp milkweed,forb
ASINI,NA,Asclepias incarnata L. ssp. incarnata,swamp milkweed,forb
ASIN14,NA,Asclepias involucrata Engelm. ex Torr.,dwarf milkweed,forb
ASLA4,NA,Asclepias latifolia (Torr.) Raf.,broadleaf milkweed,forb
ASOE,NA,Asclepias oenotheroides Cham. & Schltdl.,zizotes milkweed,forb
ASPU,NA,Asclepias pumila (A. Gray) Vail,plains milkweed,forb
ASRU6,NA,Asclepias rusbyi (Vail) Woodson,Rusby's milkweed,forb
